source,entity_type,credential_type,credential_number,linked_licensee_number,name,abn_acn,locality,state,postcode,start_date,end_date,status,latitude,longitude,distance_km,dataset_url
asic_credit_licensee,licensee,acl,219612,219612,RELI CAPITAL LTD,80005443292,LEONGATHA,VIC,3953,2010-10-04,,APPR,-38.4761569,145.9458605,113.20,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,222213,222213,LA TROBE FINANCIAL ASSET MANAGEMENT LIMITED,27007332363,MELBOURNE,VIC,3000,2011-03-16,,APPR,-37.8142454,144.9631732,0.07,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,222835,222835,PLANNING PARTNERS PTY. LTD.,64090069239,CAMBERWELL,VIC,3124,2011-02-28,,APPR,-37.8384623,145.0740767,10.13,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,223246,223246,RMBL INVESTMENTS LIMITED,19004493789,DANDENONG,VIC,3175,2011-03-03,,APPR,-37.98749,145.2147923,29.35,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,224900,224900,MELMAIN INVESTMENTS LIMITED,86090021462,COBRAM,VIC,3644,2011-04-21,,APPR,-35.9197782,145.6484379,219.23,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,225071,225071,RESULTS FINANCIAL SERVICES PTY LTD,47076742633,BENDIGO,VIC,3550,2011-02-09,,APPR,-36.7590183,144.2826718,131.81,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,227820,227820,CLARKE & BARWOOD LAWYERS COLAC LTD,70089778147,COLAC,VIC,3250,2011-03-16,,APPR,-38.3399766,143.5858537,134.01,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,229242,229242,INNATE WEALTH PTY LTD,66082986641,KEILOR,VIC,3036,2011-03-04,,APPR,-37.7113545,144.8250696,16.63,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,229697,229697,CENTRAL VICTORIAN INVESTMENTS LIMITED,35058071631,BALLARAT CENTRAL,VIC,3350,2011-02-16,,APPR,-37.5627279,143.8501516,101.83,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,229882,229882,NORFINA LIMITED,66010831722,DOCKLANDS,VIC,3008,2011-01-06,,APPR,-37.8175423,144.9394923,2.12,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,230043,230043,AIA AUSTRALIA LIMITED,79004837861,MELBOURNE,VIC,3004,2011-01-10,,APPR,-37.8142454,144.9631732,0.07,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,230208,230208,FARM MORTGAGES LTD.,72005475294,CAMPERDOWN,VIC,3260,2011-03-07,,APPR,-38.2289729999999,143.136785040322,166.51,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,230458,230458,TOTALLY INTEGRATED FINANCIAL PLANNING PTY. LTD.,12062230424,BENTLEIGH,VIC,3204,2011-04-12,,APPR,-37.9175354,145.0369346,13.25,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,230686,230686,NATIONAL AUSTRALIA BANK LIMITED,12004044937,MELBOURNE,VIC,3000,2011-01-01,,APPR,-37.8142454,144.9631732,0.07,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,234527,234527,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,11005357522,DOCKLANDS,VIC,3008,2011-03-01,,APPR,-37.8175423,144.9394923,2.12,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,234582,234582,DEFENCE BANK LIMITED,57087651385,MELBOURNE,VIC,3000,2010-12-15,,APPR,-37.8142454,144.9631732,0.07,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,234763,234763,ASCENT FUNDS MANAGEMENT LIMITED,40089245330,MELBOURNE,VIC,3000,2010-10-20,,APPR,-37.8142454,144.9631732,0.07,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,234971,234971,WEBSTER DOLILTA FINANCE LTD,49004664322,S BALLARAT,VIC,3350,2010-10-29,,APPR,-37.5623013,143.8605645,100.96,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,235269,235269,PRIME MORTGAGE GROUP LTD.,64007364114,MELBOURNE,VIC,3000,2011-01-27,,APPR,-37.8142454,144.9631732,0.07,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,236509,236509,FIRST OPTION BANK LTD,95087650735,MELBOURNE,VIC,3004,2011-02-01,,APPR,-37.8142454,144.9631732,0.07,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,236556,236556,SHINEWING AUSTRALIA WEALTH PTY LTD,34006341386,MELBOURNE,VIC,3000,2014-08-13,,APPR,-37.8142454,144.9631732,0.07,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,236658,236658,SORRETT FINANCE PTY LTD,76075357274,CREMORNE,VIC,3121,2011-03-16,,APPR,-37.8290227,144.9927735,3.12,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,236665,236665,FUTURITY INVESTMENT GROUP LIMITED,21087648879,MELBOURNE,VIC,3000,2010-12-14,,APPR,-37.8142454,144.9631732,0.07,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,237879,237879,BENDIGO AND ADELAIDE BANK LIMITED,11068049178,BENDIGO,VIC,3550,2011-01-06,,APPR,-36.7590183,144.2826718,131.81,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,237906,237906,SANDHURST TRUSTEES LIMITED,16004030737,BENDIGO,VIC,3550,2011-01-06,,APPR,-36.7590183,144.2826718,131.81,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,238431,238431,BANK AUSTRALIA LIMITED,21087651607,COLLINGWOOD,VIC,3066,2011-02-01,,APPR,-37.802104,144.9881387,2.54,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,238449,238449,PROSOLUTION GROUP PTY LTD,54096725370,MELBOURNE,VIC,3000,2010-10-21,,APPR,-37.8142454,144.9631732,0.07,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
