source,entity_type,credential_type,credential_number,linked_licensee_number,name,abn_acn,locality,state,postcode,start_date,end_date,status,latitude,longitude,distance_km,dataset_url,dedupe_key
asic_credit_representative,representative,credit_rep,366007,384312,RBM MORTGAGE MANAGEMENT PTY. LTD.,82005076808,BOX HILL,VIC,3128,2010-11-23,,APPR,-37.8180929,145.1928003,20.18,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:82005076808
asic_credit_representative,representative,credit_rep,366009,384312,H.L.G.M. MORTGAGE PTY. LTD.,36056823495,BOX HILL,VIC,3128,2010-11-23,,APPR,-37.8180929,145.1928003,20.18,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:36056823495
asic_credit_representative,representative,credit_rep,366574,390689,BALMAIN NB COMMERCIAL MORTGAGES (MELBOURNE) PTY LIMITED,88109361042,MELBOURNE,VIC,3000,2011-03-16,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:88109361042
asic_credit_representative,representative,credit_rep,367187,389087,FRANCON HOME LOANS PTY. LTD.,13144034828,PASCOE VALE,VIC,3044,2025-12-08,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:13144034828
asic_credit_representative,representative,credit_rep,367197,390222,ADVANTAGE MORTGAGE SOLUTIONS PTY. LTD.,39121421716,MELBOURNE,VIC,3004,2015-10-21,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:39121421716
asic_credit_representative,representative,credit_rep,367925,246786,CD MORTGAGE ADVISOR PTY LTD,39107411594,PORT MELBOURNE,VIC,3207,2011-02-28,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:39107411594
asic_credit_representative,representative,credit_rep,368366,246786,LENDING OPTIONS AUSTRALIA PTY LTD,67107771808,ASPENDALE,VIC,3195,2011-02-28,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:67107771808
asic_credit_representative,representative,credit_rep,368901,389087,LIFESAVER HOME LOANS PTY LTD,39119319863,DANDENONG,VIC,3175,2011-03-31,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:39119319863
asic_credit_representative,representative,credit_rep,369391,389087,MORTGAGE MONEY MANAGERS PTY. LTD.,82080242762,DANDENONG,VIC,3175,2018-11-01,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:82080242762
asic_credit_representative,representative,credit_rep,370299,383640,SOUTHERN CROSS BROKERS FINANCIAL SERVICES PTY LTD,23135481220,PORT MELBOURNE,VIC,3207,2011-01-12,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:23135481220
