source,entity_type,credential_type,credential_number,linked_licensee_number,name,business_name,abn_acn,afsl_number,authorisations,locality,state,postcode,start_date,end_date,status,latitude,longitude,distance_km,city,dataset_url
asic_credit_representative,representative,credit_rep,364258,333163,THINK TANK GROUP PTY LIMITED,,75117819084,333163,Different to Registrant,NORTH SYDNEY,NSW,2060,2011-02-11,,APPR,-33.8354519,151.2083011,3.71,sydney,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,364386,386360,"STRACHAN, MICHAEL",,,0,Same as Appointing Rep,NORWEST,NSW,2153,2021-10-08,,APPR,-33.8698439,151.2082848,0.15,sydney,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,364525,389477,BAYMAN PTY. LIMITED,,60003993388,0,Same as Registrant,MAROUBRA,NSW,2035,2011-01-24,,APPR,-33.8225666,151.1923402,5.37,sydney,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,364526,389477,CEMRUN PTY LTD,,97071719205,0,Same as Registrant,EAST LINDFIELD,NSW,2070,2011-01-24,,APPR,-33.8225666,151.1923402,5.37,sydney,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,364527,385471,JHM FINANCIAL SERVICES PTY. LIMITED,,12111857142,0,Same as Registrant,WILLOUGHBY,NSW,2068,2020-04-01,,APPR,-33.8354519,151.2083011,3.71,sydney,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,364542,390689,"DRUMMOND, GAVIN PETER",BALMAIN NB LOAN ADMINISTRATION SERVICES,,0,Different to Registrant,GOSFORD,NSW,2250,2011-03-16,,APPR,-33.8698439,151.2082848,0.15,sydney,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,364546,391865,"BECKETT, NICHOLAS LLOYD",,,0,Same as Registrant,SYDNEY,NSW,2000,2025-04-02,,APPR,-33.8698439,151.2082848,0.15,sydney,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,364546,390689,"BECKETT, NICHOLAS LLOYD",BALMAIN NB LOAN ADMINISTRATION SERVICES,,0,Different to Registrant,SYDNEY,NSW,2000,2011-03-16,,APPR,-33.8698439,151.2082848,0.15,sydney,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,364554,390689,"JENKINS, PHILIP WILLIAM",BALMAIN NB LOAN ADMINISTRATION SERVICES,,0,Different to Registrant,GOSFORD,NSW,2250,2011-03-16,,APPR,-33.8698439,151.2082848,0.15,sydney,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,364566,389811,MORTGAGEMAKER AUSTRALIA PTY LTD,,39082510585,0,Different to Registrant,PYRMONT,NSW,2009,2010-12-30,,APPR,-33.8692145,151.1923633,1.56,sydney,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
